RSI_저점,RSI_고점,과매도_목표,과열_목표,학습_CAGR,학습_MDD,검증_CAGR,검증_MDD,전체_CAGR,전체_MDD,안정점수
35,65,0.035,0.025,36.15233106310788,-40.257775604523985,39.716774696104466,-39.90636464152085,37.56961907608925,-40.257775604523985,20.81455432997568
30,70,0.04,0.023,36.16408905948629,-40.372840669661905,39.72389670409868,-39.85414509574227,37.5860316317214,-40.372840669661905,20.787662149490284
30,65,0.04,0.025,36.14095889327584,-40.379780875619545,39.63099360276749,-39.84095578360832,37.51282160302071,-40.379780875619545,20.78652343848692
35,70,0.035,0.023,36.16902232505922,-40.25703874894897,39.864060754267456,-39.85879384648806,37.64228556452102,-40.25703874894897,20.78579531270419
35,65,0.032,0.025,36.07507572639,-40.27265413715574,39.594062070062506,-39.87056653208991,37.44770514386374,-40.27265413715574,20.748001558100107
35,70,0.032,0.023,36.089982520605304,-40.269918165887375,39.718059292324114,-39.84184126679837,37.519174761041,-40.269918165887375,20.72568429244314
30,65,0.035,0.025,36.04562813503205,-40.387765877202156,39.631574755372924,-39.84052361232268,37.44891231758746,-40.387765877202156,20.654828760891988
30,70,0.035,0.023,36.06615585165159,-40.381539496822725,39.72389670409868,-39.85414509574227,37.5245721445219,-40.381539496822725,20.65240772940715
35,70,0.04,0.025,35.999680350268136,-39.916997565819244,40.03471427398446,-39.89625336063677,37.60402732481555,-39.973832794132356,20.616469328930688
30,70,0.045,0.023,35.984517331089705,-40.358900973744824,39.72374522368821,-39.85457644930936,37.4691922437498,-40.358900973744824,20.55017222786954
30,65,0.045,0.025,35.961278285891694,-40.36662649996345,39.63099360276749,-39.84095578360832,37.39278418466782,-40.36662649996345,20.54855864999796
30,65,0.032,0.025,35.82971741494333,-40.39437368079395,39.31130802952316,-39.89579211520902,37.233441027731516,-40.39437368079395,20.47312991156251
30,70,0.032,0.023,35.848869394828455,-40.39056662617324,39.49756764877941,-39.89127707359229,37.30986258284827,-40.39056662617324,20.435126686784987
