name,mode,ladder,fee,buy_range,train_cagr,train_mdd,valid_cagr,valid_mdd,full_cagr,full_mdd,score
공격형,never,0,0.0005,0.05,40.53437713461703,-42.111032075119276,46.0275141050003,-43.60145861625358,42.64594264324617,-43.74067855829057,23.351268679294137
공격형,never,0,0.0005,0.15,40.53437713461703,-42.111032075119276,46.0275141050003,-43.60145861625358,42.64594264324617,-43.74067855829057,23.351268679294137
공격형,never,0,0.0005,0.1,40.53437713461703,-42.111032075119276,46.0275141050003,-43.60145861625358,42.64594264324617,-43.74067855829057,23.351268679294137
공격형,never,2,0.0005,0.1,41.09661254738302,-42.6085474073984,47.77161566985762,-45.297540639583524,43.57462191452992,-45.41478906127622,22.906222230662674
공격형,never,2,0.0005,0.15,41.09661254738302,-42.6085474073984,47.77161566985762,-45.297540639583524,43.57462191452992,-45.41478906127622,22.906222230662674
공격형,never,2,0.0005,0.05,41.09661254738302,-42.6085474073984,47.77161566985762,-45.297540639583524,43.57462191452992,-45.41478906127622,22.906222230662674
공격형,never,3,0.0005,0.05,41.16604503662937,-42.67512623034847,48.14115841968547,-45.891095718482134,43.7300179114124,-46.00478118024554,22.66287185109099
공격형,never,3,0.0005,0.15,41.16604503662937,-42.67512623034847,48.14115841968547,-45.891095718482134,43.7300179114124,-46.00478118024554,22.66287185109099
공격형,never,3,0.0005,0.1,41.16604503662937,-42.67512623034847,48.14115841968547,-45.891095718482134,43.7300179114124,-46.00478118024554,22.66287185109099
균형형 ⭐ 추천,never,0,0.0005,0.1,37.52005050982221,-40.15972835313971,42.331493441773716,-39.83489859134747,39.37867087496387,-40.15972835313971,21.780140560040287
균형형 ⭐ 추천,never,0,0.0005,0.05,37.52005050982221,-40.15972835313971,42.331493441773716,-39.83489859134747,39.37867087496387,-40.15972835313971,21.780140560040287
균형형 ⭐ 추천,never,0,0.0005,0.15,37.52005050982221,-40.15972835313971,42.331493441773716,-39.83489859134747,39.37867087496387,-40.15972835313971,21.780140560040287
균형형 ⭐ 추천,never,2,0.0005,0.15,38.17637075100804,-40.826722063487175,43.891282610606844,-41.48936108593897,40.35387149594718,-41.45115480379688,21.654875220069815
균형형 ⭐ 추천,never,2,0.0005,0.05,38.17637075100804,-40.826722063487175,43.891282610606844,-41.48936108593897,40.35387149594718,-41.45115480379688,21.654875220069815
균형형 ⭐ 추천,never,2,0.0005,0.1,38.17637075100804,-40.826722063487175,43.891282610606844,-41.48936108593897,40.35387149594718,-41.45115480379688,21.654875220069815
균형형 ⭐ 추천,never,3,0.0005,0.15,38.25908193345988,-40.818861253107954,44.39826383645593,-41.99824294397374,40.50936329702635,-41.9925014183166,21.410983237020456
균형형 ⭐ 추천,never,3,0.0005,0.1,38.25908193345988,-40.818861253107954,44.39826383645593,-41.99824294397374,40.50936329702635,-41.9925014183166,21.410983237020456
균형형 ⭐ 추천,never,3,0.0005,0.05,38.25908193345988,-40.818861253107954,44.39826383645593,-41.99824294397374,40.50936329702635,-41.9925014183166,21.410983237020456
안정성장형,never,0,0.0005,0.1,35.86216741695098,-38.06195250926018,40.183013721330596,-37.88953066706785,37.56670622984755,-38.06195250926018,21.028187832177053
안정성장형,never,0,0.0005,0.05,35.86216741695098,-38.06195250926018,40.183013721330596,-37.88953066706785,37.56670622984755,-38.06195250926018,21.028187832177053
안정성장형,never,0,0.0005,0.15,35.86216741695098,-38.06195250926018,40.183013721330596,-37.88953066706785,37.56670622984755,-38.06195250926018,21.028187832177053
공격형,never,0,0.001,0.15,38.10479041160233,-42.07835115022684,43.496113658521416,-43.73517953997343,40.16356616183438,-43.80159936205691,20.910514436189953
공격형,never,0,0.001,0.1,38.10479041160233,-42.07835115022684,43.496113658521416,-43.73517953997343,40.16356616183438,-43.80159936205691,20.910514436189953
공격형,never,0,0.001,0.05,38.10479041160233,-42.07835115022684,43.496113658521416,-43.73517953997343,40.16356616183438,-43.80159936205691,20.910514436189953
안정성장형,never,2,0.0005,0.1,36.49635421528872,-39.08886944781245,41.77057735222145,-39.33778707373435,38.53818016477706,-39.458423934124795,20.882150641555242
안정성장형,never,2,0.0005,0.05,36.49635421528872,-39.08886944781245,41.77057735222145,-39.33778707373435,38.53818016477706,-39.458423934124795,20.882150641555242
안정성장형,never,2,0.0005,0.15,36.49635421528872,-39.08886944781245,41.77057735222145,-39.33778707373435,38.53818016477706,-39.458423934124795,20.882150641555242
안정성장형,never,3,0.0005,0.05,36.573582544417825,-39.244903895096265,42.29268852249941,-39.82622225084806,38.68915439520142,-39.97466425210246,20.632717664292446
안정성장형,never,3,0.0005,0.1,36.573582544417825,-39.244903895096265,42.29268852249941,-39.82622225084806,38.68915439520142,-39.97466425210246,20.632717664292446
안정성장형,never,3,0.0005,0.15,36.573582544417825,-39.244903895096265,42.29268852249941,-39.82622225084806,38.68915439520142,-39.97466425210246,20.632717664292446
공격형,all_loss,2,0.0005,0.1,39.52074920667226,-46.081093309161965,47.88800843502803,-45.29222059465559,42.58966810821123,-46.081093309161965,20.46382581854105
공격형,all_loss,2,0.0005,0.15,39.52074920667226,-46.081093309161965,47.88800843502803,-45.29222059465559,42.58966810821123,-46.081093309161965,20.46382581854105
공격형,all_loss,2,0.0005,0.05,39.52074920667226,-46.081093309161965,47.88800843502803,-45.29222059465559,42.58966810821123,-46.081093309161965,20.46382581854105
공격형,any_loss,2,0.0005,0.05,39.52074920667226,-46.081093309161965,47.88800843502803,-45.29222059465559,42.58966810821123,-46.081093309161965,20.46382581854105
공격형,any_loss,2,0.0005,0.15,39.52074920667226,-46.081093309161965,47.88800843502803,-45.29222059465559,42.58966810821123,-46.081093309161965,20.46382581854105
공격형,any_loss,2,0.0005,0.1,39.52074920667226,-46.081093309161965,47.88800843502803,-45.29222059465559,42.58966810821123,-46.081093309161965,20.46382581854105
공격형,any_loss,3,0.0005,0.05,39.58883962649349,-46.076481131524254,48.25205378267623,-45.92106134099622,42.740982147151115,-46.076481131524254,20.42994627579604
