target,stop,daily,retain,threshold,buy_range,train_cagr,train_mdd,valid_cagr,valid_mdd,full_cagr,full_mdd,final_value,robust_score
0.0255,16.0,0.11,0.01,0.0,0.15,32.805694646755555,-38.12294691737178,35.47020938607006,-40.80316089352529,33.968446380468606,-40.9314024681495,948651.5153131407,17.592008175261633
0.025,16.0,0.1,0.07,0.075,0.2,33.19446615103154,-40.29100219991904,37.825801159742475,-39.95942038991978,34.998070203223804,-40.29100219991904,1068732.7629330165,17.47164812801105
0.025,16.0,0.11,0.075,0.1,0.2,34.80916127225837,-42.67834687851689,40.62447643246496,-43.751673802438376,36.9899494531698,-43.89011040211361,1342443.441698156,17.460715135332634
0.028,16.0,0.11,0.1,0.075,0.15,36.48811234454718,-48.07920075634217,42.77450830372871,-43.64625310221362,38.87568686928178,-48.07920075634217,1660840.853862342,17.46015349411389
0.026,16.0,0.105,0.1,0.05,0.2,35.38053665954095,-43.33599808056121,43.25221775226113,-41.80952491304111,38.35190985672685,-43.33599808056121,1565960.715404541,17.457848948892465
0.0235,16.0,0.11,0.1,0.1,0.2,34.5224734229898,-42.745587537730614,39.937172756031146,-43.815614762881,36.60200830821469,-43.93406228064991,1284466.5096634573,17.29186348941698
0.026,16.0,0.095,0.065,0.1,0.15,31.727208806826802,-38.74722066441063,36.47705318437626,-37.95000926830049,33.56275353412108,-38.74722066441063,904902.7646352777,16.503236042140774
0.0265,16.0,0.115,0.065,0.05,0.2,35.30378839260118,-44.643253379243966,44.09378628687368,-45.22565022649761,38.5538969233516,-45.30544815699929,1601932.4351839405,16.398311550331638
0.0255,16.0,0.105,0.065,0.05,0.2,33.84337146631666,-42.64398197651722,41.087224210124475,-41.767567157042016,36.533959787987726,-42.64398197651722,1274541.5888521448,16.3826293142029
0.027,16.0,0.105,0.09,0.125,0.15,33.05175834091754,-46.89761205693092,39.65629438961717,-41.82625618131507,35.539851934353074,-46.89761205693092,1137490.789498573,14.326006503946846
