전략,2011_2020_CAGR,2011_2020_MDD,2021_2026_CAGR,2021_2026_MDD,전체_CAGR,전체_MDD,최종자산,안정점수
RSI_목표수익_조절,36.16408905948629,-40.372840669661905,39.72389670409868,-39.85414509574227,37.5860316317214,-40.372840669661905,1436318.0226204335,20.787662149490284
RSI_SOXX_과열만축소,34.109385137665015,-39.79501173941472,34.01321172891147,-39.845468711248046,34.25649282148322,-39.97507574938649,980906.6386699557,20.033636986910917
현재_균형형,35.33457398805851,-40.403412534690474,40.047367434328066,-39.84712528063415,37.16202188324087,-40.403412534690474,1368935.4038523887,19.543901894722495
MA200_완만,33.50943605159799,-37.84589811095675,39.15698772347096,-34.52274113782533,35.68197892945935,-37.84589811095675,1156201.7163000181,18.286728627607584
변동성20_완만,33.55842191663683,-40.404300583435436,36.97876674086771,-34.76948392001048,34.97518358825559,-40.404300583435436,1065915.647174268,18.21979602395362
RSI_SOXL_완만,31.661990775009514,-38.406260142815526,33.83575600463843,-38.30060903961529,32.58058559508379,-38.420426926939314,806680.3822735581,17.458981894653963
RSI_MA_목표수익_결합,31.164865094732818,-37.92459273500698,33.32440495579635,-31.288386765643985,32.07168963658444,-37.92459273500698,759802.5367648238,17.13541868610814
RSI_SOXX_완만,30.88114061433086,-37.618546740636475,32.502723823902755,-38.30087303369522,31.623512322024197,-38.41995417838911,720641.2966147774,16.90828092918737
변동성20_조절,31.770125901391253,-40.39602856627229,33.99179069882723,-29.80614871141952,32.73973882961724,-40.39602856627229,821887.8217632334,16.85393322409336
RSI_MA200_추천,30.605529474985445,-37.92406043269116,32.247973491497845,-31.580735612004617,31.368963284107195,-37.92406043269116,699248.4878253839,16.757252917764205
MA200_방어,31.705901169804662,-37.92283705430012,38.22021822552762,-31.56270702058882,34.1506289023788,-37.92283705430012,968934.6710878927,16.15289723129659
RSI_SOXX_강약,28.30748083120986,-36.186739454209736,29.32721557108613,-37.49216024738617,28.835519283139064,-37.63189244562626,516386.67541259836,14.828317585668007
RSI_변동성_결합,28.26829695281438,-37.59932471600066,30.905580163908468,-28.792168845768927,29.373120085243755,-37.59932471600066,550969.8616279967,14.185484178331222
RSI_MA200_보수,27.63198141146131,-36.6601171560848,29.394633480306254,-28.151552950617052,28.43502138707501,-36.6601171560848,491955.1231891111,14.1840121827359
